Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
6,0,539,29461,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
7,0,574,29426,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
8,0,629,29371,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
9,0,587,29413,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
10,0,649,29351,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
11,0,573,29427,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
12,0,580,29420,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
13,0,589,29411,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
14,0,612,29388,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
15,0,605,29395,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
16,0,603,29397,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
17,0,633,29367,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
18,0,562,29438,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
19,0,584,29416,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
20,0,555,29445,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
21,0,572,29428,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
22,0,592,29408,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
23,0,597,29403,30000,0.1,0.05,8/8/8/1p6/2b5/2kp4/8/4K3 w - - 0 171,0-1
