Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,End Result
1,350,605,9045,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
2,337,607,9056,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
3,362,622,9016,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
4,308,636,9056,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
5,337,619,9044,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
6,342,649,9009,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
7,334,619,9047,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
8,309,614,9077,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
9,309,600,9091,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
10,367,665,8968,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
11,302,616,9082,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
12,339,619,9042,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
13,312,643,9045,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
14,334,599,9067,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
15,330,615,9055,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
16,342,586,9072,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
17,348,634,9018,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
18,317,633,9050,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
19,319,609,9072,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
20,335,624,9041,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
21,342,615,9043,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
22,350,605,9045,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
23,344,613,9043,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
24,313,638,9049,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
25,353,658,8989,10000,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
""
1,417,777,11306,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
2,406,757,11337,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
3,431,752,11317,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
4,438,774,11288,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
5,414,788,11298,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
6,432,812,11256,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
7,454,763,11283,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
8,407,767,11326,12500,0.1,0.01,8/4bk1p/2p5/p1p1p3/q1P1P1Qp/2P1BP2/6K1/8 w - - 0 42,1/2-1/2
