Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,End Result
23,1359,2905,35736,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
24,1411,2910,35679,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
25,1401,2883,35716,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
""
1,182,407,9411,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
2,174,380,9446,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
3,181,361,9458,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
4,191,382,9427,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
5,174,390,9436,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
6,179,367,9454,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
7,180,383,9437,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
8,195,401,9404,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
9,185,412,9403,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
10,167,370,9463,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
11,163,391,9446,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
12,168,371,9461,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
13,158,353,9489,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
14,183,421,9396,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
15,183,388,9429,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
16,188,383,9429,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
17,199,402,9399,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
18,186,373,9441,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
19,186,400,9414,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
20,170,376,9454,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
21,180,397,9423,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
22,165,391,9444,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
23,183,358,9459,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
24,177,405,9418,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
25,200,395,9405,10000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
""
1,345,789,18866,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
2,357,770,18873,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
3,369,784,18847,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
4,392,722,18886,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
5,373,766,18861,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
6,374,793,18833,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
7,367,758,18875,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
8,341,777,18882,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
9,339,795,18866,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
10,342,803,18855,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
11,369,776,18855,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
12,343,802,18855,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
13,345,728,18927,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
14,350,727,18923,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
15,354,751,18895,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
16,362,799,18839,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
17,374,758,18868,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
18,377,743,18880,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
19,391,767,18842,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
20,329,765,18906,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
21,385,771,18844,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
22,338,743,18919,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
23,358,753,18889,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
24,367,773,18860,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
25,331,747,18922,20000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
""
1,525,1169,28306,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
2,557,1187,28256,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
3,555,1159,28286,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
4,535,1140,28325,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
5,489,1116,28395,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
6,499,1195,28306,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
7,527,1129,28344,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
8,514,1124,28362,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
9,532,1194,28274,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
10,544,1060,28396,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
11,554,1146,28300,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
12,548,1159,28293,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
13,530,1153,28317,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
14,521,1253,28226,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
15,497,1216,28287,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
16,528,1152,28320,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
17,529,1109,28362,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
18,519,1108,28373,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
19,518,1090,28392,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
20,530,1129,28341,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
21,524,1156,28320,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
22,502,1147,28351,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
23,499,1230,28271,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
24,537,1123,28340,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
25,512,1116,28372,30000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
""
1,714,1541,37745,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
2,717,1546,37737,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
3,725,1537,37738,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
4,704,1519,37777,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
5,704,1556,37740,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
6,724,1531,37745,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
7,715,1549,37736,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
8,750,1523,37727,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
9,693,1584,37723,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
10,710,1570,37720,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
11,735,1486,37779,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
12,737,1580,37683,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
13,721,1535,37744,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
14,722,1520,37758,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
15,700,1501,37799,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
16,738,1666,37596,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
17,724,1563,37713,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
18,718,1563,37719,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
19,719,1497,37784,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
20,706,1598,37696,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
21,715,1537,37748,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
22,750,1599,37651,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
23,626,1501,37873,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
24,722,1573,37705,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
25,678,1569,37753,40000,0.1,0.01,8/1R6/1p1r1k1p/2p2p2/2P2p2/1P5P/5KP1/8 w - - 0 40,1/2-1/2
""
1,1353,97,8550,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
2,1486,99,8415,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
3,1426,77,8497,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
4,1353,89,8558,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
5,1362,60,8578,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
6,1391,80,8529,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
7,1370,94,8536,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
8,1381,66,8553,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
9,1397,99,8504,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
10,1386,74,8540,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
11,1376,90,8534,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
12,1438,78,8484,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
13,1379,103,8518,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
14,1454,74,8472,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
15,1418,88,8494,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
16,1409,72,8519,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
17,1375,82,8543,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
18,1427,80,8493,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
19,1419,73,8508,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
20,1439,76,8485,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
21,1413,88,8499,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
22,1348,69,8583,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
23,1352,67,8581,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
24,1395,87,8518,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
25,1456,78,8466,10000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
""
1,2734,175,17091,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
2,2775,160,17065,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
3,2695,180,17125,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
4,2785,148,17067,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
5,2810,153,17037,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
6,2832,150,17018,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
7,2814,154,17032,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
8,2778,175,17047,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
9,2805,160,17035,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
10,2715,168,17117,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
11,2827,169,17004,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
12,2709,158,17133,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
13,2778,156,17066,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
14,2861,168,16971,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
15,2713,173,17114,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
16,2804,169,17027,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
17,2822,132,17046,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
18,2860,152,16988,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
19,2800,155,17045,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
20,2755,183,17062,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
21,2808,188,17004,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
22,2856,171,16973,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
23,2817,170,17013,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
24,2768,163,17069,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
25,2916,199,16885,20000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
""
1,4124,244,25632,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
2,4096,225,25679,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
3,4130,248,25622,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
4,4221,253,25526,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
5,4102,243,25655,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
6,4117,244,25639,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
7,4126,239,25635,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
8,4164,234,25602,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
9,4148,237,25615,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
10,4144,266,25590,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
11,4237,248,25515,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
12,4194,240,25566,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
13,4163,250,25587,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
14,4170,264,25566,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
15,4235,234,25531,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
16,4093,242,25665,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
17,4086,231,25683,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
18,4143,201,25656,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
19,4256,259,25485,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
20,4204,248,25548,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
21,4177,243,25580,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
22,4159,225,25616,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
23,4294,256,25450,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
24,4173,232,25595,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
25,4180,238,25582,30000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
""
1,5575,314,34111,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
2,5628,317,34055,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
3,5632,268,34100,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
4,5721,313,33966,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
5,5640,304,34056,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
6,5551,303,34146,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
7,5555,318,34127,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
8,5609,301,34090,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
9,5498,323,34179,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
10,5529,318,34153,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
11,5625,298,34077,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
12,5509,313,34178,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
13,5608,316,34076,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
14,5519,314,34167,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
15,5649,307,34044,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
16,5492,335,34173,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
17,5575,289,34136,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
18,5608,308,34084,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
19,5648,316,34036,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
20,5552,295,34153,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
21,5639,341,34020,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
22,5435,308,34257,40000,0.1,0.01,8/K1Q3pk/7p/P4q1P/8/4Q3/8/8 w - - 1 72,1-0
