Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,End Result
3,100,111,29789,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
4,116,102,29782,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
5,106,119,29775,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
6,100,105,29795,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
7,102,130,29768,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
8,117,94,29789,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
9,105,99,29796,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
10,103,98,29799,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
11,125,107,29768,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
12,116,85,29799,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
13,123,110,29767,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
14,122,109,29769,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
15,106,78,29816,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
16,98,102,29800,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
17,124,105,29771,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
18,117,94,29789,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
19,105,90,29805,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
20,112,91,29797,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
21,121,99,29780,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
22,109,103,29788,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
23,111,96,29793,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
24,116,103,29781,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
25,111,86,29803,30000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
""
1,144,108,39748,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
2,117,119,39764,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
3,145,130,39725,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
4,133,113,39754,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
5,135,133,39732,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
6,137,111,39752,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
7,117,137,39746,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
8,156,141,39703,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
9,155,133,39712,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
10,144,152,39704,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
11,169,120,39711,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
12,154,128,39718,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
13,146,145,39709,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
14,130,128,39742,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
15,140,140,39720,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
16,152,147,39701,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
17,138,125,39737,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
18,160,128,39712,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
19,160,114,39726,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
20,144,126,39730,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
21,158,124,39718,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
22,137,134,39729,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
23,148,144,39708,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
24,158,124,39718,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
25,144,139,39717,40000,0.1,0.01,8/1K1r4/8/8/8/8/6k1/1R6 w - - 37 109,1/2-1/2
""
1,335,716,8949,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
2,328,694,8978,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
3,342,718,8940,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
4,330,712,8958,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
5,337,727,8936,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
6,351,751,8898,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
7,338,754,8908,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
8,322,698,8980,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
9,353,684,8963,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
10,344,713,8943,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
11,358,703,8939,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
12,326,696,8978,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
13,363,708,8929,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
14,319,765,8916,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
15,344,749,8907,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
16,358,755,8887,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
17,346,679,8975,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
18,329,700,8971,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
19,349,720,8931,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
20,328,717,8955,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
21,344,710,8946,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
22,337,737,8926,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
23,371,741,8888,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
24,356,702,8942,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
25,308,714,8978,10000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
""
1,727,1421,17852,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
2,634,1431,17935,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
3,707,1510,17783,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
4,692,1403,17905,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
5,755,1543,17702,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
6,686,1462,17852,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
7,650,1516,17834,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
8,680,1408,17912,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
9,667,1435,17898,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
10,667,1408,17925,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
11,688,1420,17892,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
12,675,1395,17930,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
13,706,1472,17822,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
14,731,1391,17878,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
15,698,1384,17918,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
16,756,1436,17808,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
17,687,1448,17865,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
18,731,1417,17852,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
19,745,1428,17827,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
20,640,1473,17887,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
21,711,1457,17832,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
22,659,1398,17943,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
23,710,1472,17818,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
24,693,1385,17922,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
25,722,1431,17847,20000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
""
1,1037,2100,26863,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
2,1012,2157,26831,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
3,1024,2241,26735,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
4,1021,2180,26799,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
5,1053,2205,26742,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
6,995,2105,26900,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
7,1030,2114,26856,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
8,1023,2104,26873,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
9,1011,2150,26839,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
10,1089,2177,26734,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
11,1020,2193,26787,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
12,1022,2185,26793,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
13,1008,2165,26827,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
14,1012,2149,26839,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
15,1033,2216,26751,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
16,1092,2189,26719,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
17,981,2147,26872,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
18,1029,2158,26813,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
19,1056,2129,26815,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
20,1030,2131,26839,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
21,1029,2123,26848,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
22,1007,2137,26856,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
23,997,2210,26793,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
24,1073,2170,26757,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
25,1059,2143,26798,30000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
""
1,1423,2797,35780,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
2,1327,2969,35704,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
3,1439,2924,35637,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
4,1358,2898,35744,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
5,1411,2813,35776,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
6,1407,2956,35637,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
7,1369,2920,35711,40000,0.1,0.01,1r6/p1p3k1/4B1p1/5R2/8/1Pb5/q1P2PP1/3K3R w - - 1 27,1/2-1/2
