Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
21,125,35,19840,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
22,128,36,19836,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
23,120,47,19833,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
24,123,36,19841,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
25,122,40,19838,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
""
1,197,69,29734,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
2,204,71,29725,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
3,196,52,29752,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
4,193,76,29731,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
5,164,57,29779,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
6,194,73,29733,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
7,170,64,29766,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
8,183,70,29747,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
9,168,71,29761,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
10,195,71,29734,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
11,213,58,29729,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
12,196,68,29736,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
13,193,65,29742,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
14,182,61,29757,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
15,204,78,29718,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
16,190,58,29752,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
17,168,52,29780,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
18,183,68,29749,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
19,184,81,29735,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
20,197,72,29731,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
21,187,60,29753,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
22,196,58,29746,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
23,175,66,29759,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
24,183,78,29739,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
25,180,59,29761,30000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
""
1,231,82,34687,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
2,208,81,34711,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
3,242,66,34692,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
4,219,68,34713,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
5,235,83,34682,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
6,194,78,34728,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
7,218,72,34710,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
8,230,67,34703,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
9,245,94,34661,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
10,210,68,34722,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
11,230,87,34683,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
12,237,74,34689,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
13,225,77,34698,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
14,268,71,34661,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
15,249,77,34674,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
16,227,78,34695,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
17,218,87,34695,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
18,248,84,34668,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
19,235,74,34691,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
20,248,80,34672,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
21,211,85,34704,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
22,222,69,34709,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
23,238,87,34675,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
24,239,82,34679,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
25,232,69,34699,35000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
""
1,216,97,39687,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
2,256,103,39641,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
3,284,91,39625,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
4,223,83,39694,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
5,252,73,39675,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
6,239,81,39680,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
7,245,96,39659,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
8,250,93,39657,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
9,234,78,39688,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
10,261,91,39648,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
11,261,83,39656,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
12,284,93,39623,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
13,271,79,39650,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
14,251,95,39654,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
15,262,83,39655,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
16,245,89,39666,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
17,265,90,39645,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
18,283,90,39627,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
19,247,84,39669,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
20,257,89,39654,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
21,234,88,39678,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
22,250,100,39650,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
23,256,81,39663,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
24,251,96,39653,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
25,243,96,39661,40000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
""
1,313,131,44556,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
2,249,104,44647,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
3,321,104,44575,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
4,291,96,44613,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
5,277,93,44630,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
6,296,112,44592,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
7,261,110,44629,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
8,283,91,44626,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
9,280,99,44621,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
10,302,84,44614,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
11,289,82,44629,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
12,255,93,44652,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
13,286,93,44621,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
14,261,98,44641,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
15,292,100,44608,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
16,284,85,44631,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
17,253,112,44635,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
18,291,95,44614,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
19,299,92,44609,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
20,309,103,44588,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
21,307,98,44595,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
22,290,107,44603,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
23,282,90,44628,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
24,280,94,44626,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
25,283,95,44622,45000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
""
1,301,126,49573,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
2,310,105,49585,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
3,337,138,49525,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
4,316,112,49572,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
5,323,118,49559,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
6,280,104,49616,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
7,318,104,49578,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
8,298,119,49583,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
9,352,117,49531,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
10,284,121,49595,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
11,326,113,49561,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
12,335,122,49543,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
13,302,116,49582,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
14,330,97,49573,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
15,332,95,49573,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
16,328,109,49563,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
17,307,113,49580,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
18,323,111,49566,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
19,332,110,49558,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
20,346,100,49554,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
21,312,111,49577,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
22,313,98,49589,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
23,345,98,49557,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
24,313,106,49581,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
25,309,122,49569,50000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
""
