Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
1,66,19,9915,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
2,64,21,9915,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
3,56,39,9905,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
4,59,16,9925,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
5,55,22,9923,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
6,70,19,9911,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
7,68,24,9908,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
8,71,31,9898,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
9,57,20,9923,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
10,58,28,9914,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
11,69,13,9918,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
12,73,21,9906,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
13,67,22,9911,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
14,64,15,9921,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
15,52,17,9931,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
16,66,18,9916,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
17,62,24,9914,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
18,72,25,9903,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
19,60,27,9913,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
20,55,22,9923,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
21,51,16,9933,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
22,66,16,9918,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
23,74,27,9899,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
24,58,21,9921,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
25,60,24,9916,10000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
""
1,139,42,19819,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
2,138,28,19834,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
3,138,34,19828,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
4,136,41,19823,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
5,126,47,19827,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
6,143,48,19809,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
7,129,32,19839,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
8,119,45,19836,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
9,130,45,19825,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
10,122,50,19828,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
11,123,42,19835,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
12,151,46,19803,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
13,114,48,19838,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
14,131,30,19839,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
15,120,45,19835,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
16,134,46,19820,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
17,114,63,19823,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
18,133,46,19821,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
19,118,37,19845,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
20,126,48,19826,20000,0.05,0.2,8/8/5k2/3n1p2/5P2/6P1/2N1K3/8 w - - 3 68,1/2-1/2
