Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Fen,Gap (Win / (Win + Lose))
25,178,226,19596,20000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
""
1,289,306,29405,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
2,280,312,29408,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
3,294,311,29395,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
4,282,315,29403,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
5,232,312,29456,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
6,267,309,29424,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
7,278,297,29425,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
8,281,315,29404,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
9,265,319,29416,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
10,284,308,29408,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
11,316,302,29382,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
12,258,314,29428,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
13,282,294,29424,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
14,281,332,29387,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
15,282,280,29438,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
16,302,279,29419,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
17,294,279,29427,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
18,301,259,29440,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
19,279,299,29422,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
20,283,321,29396,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
21,279,307,29414,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
22,292,282,29426,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
23,287,294,29419,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
24,281,307,29412,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
25,257,301,29442,30000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
""
1,342,341,34317,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
2,329,365,34306,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
3,336,390,34274,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
4,326,391,34283,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
5,335,395,34270,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
6,363,358,34279,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
7,345,320,34335,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
8,347,332,34321,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
9,325,339,34336,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
10,317,369,34314,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
11,343,342,34315,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
12,348,336,34316,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
13,350,355,34295,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
14,349,341,34310,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
15,335,362,34303,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
16,337,354,34309,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
17,322,358,34320,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
18,379,337,34284,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
19,331,359,34310,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
20,356,337,34307,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
21,337,367,34296,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
22,326,337,34337,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
23,338,369,34293,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
24,324,339,34337,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
25,319,363,34318,35000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
""
1,387,367,39246,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
2,363,414,39223,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
3,382,405,39213,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
4,391,395,39214,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
5,428,400,39172,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
6,401,416,39183,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
7,408,421,39171,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
8,422,359,39219,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
9,383,381,39236,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
10,418,387,39195,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
11,343,421,39236,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
12,426,397,39177,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
13,418,399,39183,40000,0.1,0.05,8/4R3/2k5/6p1/2P3K1/8/8/6r1 w - - 10 79,1/2-1/2
