Number,Wins,Losses,Draws,Simulations,,p-Win,p-Lose,SE-Win,,,SE-Lose,,
4,1494,3482,45024,50000,,0.02988,0.06964,0.000761409,0.028357182,0.031402818,0.001138334,0.067363331,4.002276669
5,1437,3702,44861,50000,,0.02874,0.07404,0.000747182,0.027245637,0.030234363,0.001170966,0.071698068,4.002341932
6,1479,3592,44929,50000,,0.02958,0.07184,0.000757694,0.028064612,0.031095388,0.001154807,0.069530385,4.002309615
7,1490,3574,44936,50000,,0.0298,0.07148,0.00076042,0.028279159,0.031320841,0.001152134,0.069175732,4.002304268
8,1464,3561,44975,50000,,0.02928,0.07122,0.000753959,0.027772083,0.030787917,0.001150197,0.068919605,4.002300395
9,1470,3631,44899,50000,,0.0294,0.07262,0.000755455,0.027889089,0.030910911,0.001160572,0.070298857,4.002321143
10,1421,3743,44836,50000,,0.02842,0.07486,0.000743133,0.026933735,0.029906265,0.001176911,0.072506178,4.002353822
11,1497,3503,45000,50000,,0.02994,0.07006,0.00076215,0.028415701,0.031464299,0.001141504,0.067776992,4.002283008
12,1426,3600,44974,50000,,0.02852,0.072,0.000744401,0.027031199,0.030008801,0.001155993,0.069688014,4.002311986
13,1411,3680,44909,50000,,0.02822,0.0736,0.000740589,0.026738821,0.029701179,0.001167759,0.071264482,4.002335518
14,1435,3617,44948,50000,,0.0287,0.07234,0.000746677,0.027206646,0.030193354,0.001158507,0.070022986,4.002317014
15,1517,3589,44894,50000,,0.03034,0.07178,0.000767066,0.028805869,0.031874131,0.001154362,0.069471275,4.002308725
16,1472,3706,44822,50000,,0.02944,0.07412,0.000755954,0.027928093,0.030951907,0.001171548,0.071776904,4.002343096
17,1464,3582,44954,50000,,0.02928,0.07164,0.000753959,0.027772083,0.030787917,0.001153323,0.069333354,4.002306646
18,1473,3518,45009,50000,,0.02946,0.07036,0.000756202,0.027947595,0.030972405,0.001143761,0.068072478,4.002287522
19,1516,3685,44799,50000,,0.03032,0.0737,0.000766821,0.028786359,0.031853641,0.001168489,0.071363022,4.002336978
20,1480,3711,44809,50000,,0.0296,0.07422,0.000757942,0.028084115,0.031115885,0.001172275,0.071875451,4.002344549
