Number,Wins,Losses,Draws,Simulations,White Time,Black Time,Moves From End,Fen
5,2170,331,47499,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
6,2112,334,47554,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
7,2195,321,47484,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
8,2207,352,47441,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
9,2299,326,47375,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
10,2205,353,47442,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
11,2201,333,47466,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
12,2195,388,47417,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
13,2254,357,47389,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
14,2189,335,47476,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
15,2216,353,47431,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
16,2162,340,47498,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
17,2267,332,47401,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
18,2226,352,47422,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
19,2173,347,47480,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
20,2192,333,47475,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
21,2191,367,47442,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
22,2163,336,47501,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
23,2151,383,47466,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
24,2290,394,47316,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
25,2188,331,47481,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
26,2195,335,47470,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
27,2183,332,47485,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
28,2186,341,47473,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
29,2237,355,47408,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
30,2218,345,47437,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
31,2224,365,47411,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
32,2198,342,47460,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
33,2221,353,47426,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
34,2183,347,47470,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
35,2123,358,47519,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
36,2190,355,47455,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
37,2264,357,47379,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
38,2217,326,47457,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
39,2313,359,47328,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
40,2106,347,47547,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
41,2216,336,47448,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
42,2211,356,47433,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
43,2165,359,47476,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
44,2154,353,47493,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
45,2200,363,47437,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
46,2181,366,47453,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
47,2080,381,47539,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
48,2191,377,47432,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
49,2250,389,47361,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
50,2128,358,47514,50000,0.1,0.05,10,4k3/2K1P3/2N5/5nP1/8/8/4R3/3r4 w - - 41 109
""
